"Symbol","Description","Date","Time","Open","High","Low","Close","TotalVolume"
AAPL,NASDAQ,18.11.2020,16:37:00,117.790,117.820,117.720,117.820,27515
AAPL,NASDAQ,18.11.2020,12:03:00,119.731,119.820,119.690,119.713,246143
AAPL,NASDAQ,19.11.2020,09:35:00,117.240,117.380,116.810,117.085,1050739
AAPL,NASDAQ,19.11.2020,15:36:00,118.805,119.050,118.770,118.945,430676
AAPL,NASDAQ,20.11.2020,18:05:00,117.000,117.000,116.910,116.990,4867
AAPL,NASDAQ,20.11.2020,08:01:00,118.950,118.970,118.590,118.840,63930
AAPL,NASDAQ,23.11.2020,15:58:00,113.770,113.910,113.750,113.865,737547
AAPL,NASDAQ,23.11.2020,08:01:00,117.470,117.650,117.460,117.570,47688
AAPL,NASDAQ,24.11.2020,09:48:00,112.815,112.860,112.590,112.705,747007
AAPL,NASDAQ,24.11.2020,14:02:00,115.740,115.850,115.690,115.825,229645
AAPL,NASDAQ,25.11.2020,08:31:00,114.980,115.040,114.900,115.010,27337
AAPL,NASDAQ,25.11.2020,11:03:00,116.685,116.750,116.680,116.745,205827
AAPL,NASDAQ,27.11.2020,12:54:00,116.290,116.290,116.220,116.260,239516
AAPL,NASDAQ,27.11.2020,10:34:00,117.430,117.490,117.340,117.366,273379
AAPL,NASDAQ,30.11.2020,08:18:00,116.970,116.970,116.610,116.820,54501
AAPL,NASDAQ,30.11.2020,15:11:00,120.813,120.970,120.813,120.935,277304
AAPL,NASDAQ,01.12.2020,09:37:00,120.320,120.340,120.010,120.200,597261
AAPL,NASDAQ,01.12.2020,12:14:00,123.380,123.469,123.370,123.415,310614
AAPL,NASDAQ,02.12.2020,09:46:00,121.215,121.280,120.890,121.000,811725
AAPL,NASDAQ,02.12.2020,13:24:00,123.240,123.370,123.240,123.334,285137
AAPL,NASDAQ,03.12.2020,11:12:00,122.270,122.360,122.210,122.260,263626
AAPL,NASDAQ,03.12.2020,08:01:00,123.830,123.880,123.410,123.700,115171
AAPL,NASDAQ,04.12.2020,10:30:00,121.615,121.652,121.520,121.536,276384
AAPL,NASDAQ,04.12.2020,08:01:00,123.269,123.280,122.896,122.970,58163
AAPL,NASDAQ,07.12.2020,08:01:00,122.130,122.420,121.966,122.150,109688
AAPL,NASDAQ,07.12.2020,10:01:00,124.440,124.570,124.430,124.510,537235
AAPL,NASDAQ,08.12.2020,08:01:00,123.339,123.460,123.000,123.460,79788
AAPL,NASDAQ,08.12.2020,15:01:00,124.960,124.980,124.920,124.928,216116
AAPL,NASDAQ,09.12.2020,17:57:00,121.070,121.070,120.900,120.920,46231
AAPL,NASDAQ,09.12.2020,10:00:00,125.830,125.950,125.820,125.860,324673
AAPL,NASDAQ,10.12.2020,09:16:00,120.030,120.080,120.010,120.080,20773
AAPL,NASDAQ,10.12.2020,11:32:00,123.750,123.870,123.750,123.805,128871
AAPL,NASDAQ,11.12.2020,12:24:00,120.590,120.700,120.550,120.675,294112
AAPL,NASDAQ,11.12.2020,08:01:00,122.480,122.940,122.010,122.450,59215
AAPL,NASDAQ,14.12.2020,16:00:00,122.010,122.040,121.540,121.770,1450497
AAPL,NASDAQ,14.12.2020,09:32:00,123.040,123.350,122.960,122.982,472028
AAPL,NASDAQ,15.12.2020,08:01:00,123.140,124.070,122.880,123.880,174915
AAPL,NASDAQ,15.12.2020,16:14:00,127.870,128.000,127.870,128.000,52696
AAPL,NASDAQ,16.12.2020,09:40:00,126.717,126.835,126.560,126.800,519756
AAPL,NASDAQ,16.12.2020,15:41:00,128.279,128.370,128.276,128.318,297710
AAPL,NASDAQ,17.12.2020,08:01:00,128.400,128.520,127.590,128.460,73450
AAPL,NASDAQ,17.12.2020,09:40:00,129.440,129.580,129.210,129.545,703617
AAPL,NASDAQ,18.12.2020,15:23:00,126.185,126.210,126.120,126.142,279525
AAPL,NASDAQ,18.12.2020,09:13:00,129.310,129.350,129.290,129.290,18244
AAPL,NASDAQ,21.12.2020,10:47:00,123.710,123.715,123.449,123.590,437016
AAPL,NASDAQ,21.12.2020,17:21:00,131.760,132.000,131.760,131.920,97236
AAPL,NASDAQ,22.12.2020,11:38:00,129.990,130.000,129.650,129.850,754381
AAPL,NASDAQ,22.12.2020,10:08:00,134.015,134.405,133.980,134.381,1094647
AAPL,NASDAQ,23.12.2020,09:36:00,130.910,131.370,130.780,131.345,693930
AAPL,NASDAQ,23.12.2020,08:37:00,132.470,132.590,132.470,132.580,25643
AAPL,NASDAQ,24.12.2020,08:01:00,131.050,131.100,130.900,131.050,69278
AAPL,NASDAQ,24.12.2020,10:35:00,133.240,133.460,133.240,133.339,537720
AAPL,NASDAQ,28.12.2020,08:01:00,133.180,133.690,132.915,133.630,258535
AAPL,NASDAQ,28.12.2020,15:21:00,137.290,137.340,137.210,137.210,487593
AAPL,NASDAQ,29.12.2020,15:54:00,134.443,134.500,134.341,134.469,339594
AAPL,NASDAQ,29.12.2020,09:36:00,138.422,138.789,138.410,138.548,1053828
AAPL,NASDAQ,30.12.2020,15:21:00,133.510,133.540,133.400,133.530,570668
AAPL,NASDAQ,30.12.2020,09:34:00,135.830,135.990,135.544,135.580,642883
AAPL,NASDAQ,31.12.2020,12:01:00,131.960,132.040,131.720,131.875,702190
AAPL,NASDAQ,31.12.2020,09:34:00,134.326,134.740,134.290,134.610,510770
AAPL,NASDAQ,04.01.2021,12:16:00,127.410,127.410,126.760,127.210,845148
AAPL,NASDAQ,04.01.2021,08:07:00,134.010,134.100,134.000,134.050,47486
AAPL,NASDAQ,05.01.2021,09:01:00,128.400,128.430,128.310,128.390,14411
AAPL,NASDAQ,05.01.2021,10:14:00,131.670,131.740,131.571,131.630,332620
AAPL,NASDAQ,06.01.2021,16:02:00,126.380,126.600,126.310,126.370,20585
AAPL,NASDAQ,06.01.2021,11:22:00,130.885,131.050,130.860,130.870,724808
AAPL,NASDAQ,07.01.2021,09:50:00,127.980,128.020,127.860,127.999,397927
AAPL,NASDAQ,07.01.2021,15:50:00,131.480,131.630,131.440,131.480,616064
AAPL,NASDAQ,08.01.2021,13:45:00,130.387,130.590,130.230,130.557,363648
AAPL,NASDAQ,08.01.2021,08:01:00,132.150,132.850,132.010,132.290,196856
AAPL,NASDAQ,11.01.2021,09:31:00,129.160,129.500,128.500,128.910,3131063
AAPL,NASDAQ,11.01.2021,08:01:00,131.140,131.430,130.250,130.550,198928
AAPL,NASDAQ,12.01.2021,12:17:00,126.960,127.210,126.860,126.940,475276
AAPL,NASDAQ,12.01.2021,08:01:00,129.428,129.950,129.300,129.690,142469
AAPL,NASDAQ,13.01.2021,08:11:00,128.410,128.560,128.290,128.500,21351
AAPL,NASDAQ,13.01.2021,11:48:00,131.420,131.450,131.320,131.340,222823
AAPL,NASDAQ,14.01.2021,15:55:00,128.890,129.000,128.760,128.830,511709
AAPL,NASDAQ,14.01.2021,08:49:00,130.930,131.160,130.930,131.110,20993
AAPL,NASDAQ,15.01.2021,16:58:00,126.950,127.000,126.900,126.960,4525
AAPL,NASDAQ,15.01.2021,09:34:00,130.065,130.224,129.880,129.980,563203
AAPL,NASDAQ,19.01.2021,10:03:00,127.080,127.130,126.938,126.981,689994
AAPL,NASDAQ,19.01.2021,08:01:00,128.360,128.900,128.200,128.240,96599
AAPL,NASDAQ,20.01.2021,08:01:00,128.740,128.750,128.450,128.710,79127
AAPL,NASDAQ,20.01.2021,14:47:00,132.425,132.490,132.410,132.415,160741
AAPL,NASDAQ,21.01.2021,08:55:00,133.640,133.700,133.500,133.700,22838
AAPL,NASDAQ,21.01.2021,15:56:00,136.890,139.670,136.870,136.985,634691
AAPL,NASDAQ,22.01.2021,09:34:00,135.240,135.520,135.020,135.490,660759
AAPL,NASDAQ,22.01.2021,18:04:00,139.980,140.000,139.960,139.980,13814
AAPL,NASDAQ,25.01.2021,11:09:00,137.700,137.960,136.540,137.740,1265051
AAPL,NASDAQ,25.01.2021,09:41:00,144.890,145.090,144.510,144.590,1185475
AAPL,NASDAQ,26.01.2021,09:46:00,142.062,142.090,141.370,141.840,1051444
AAPL,NASDAQ,26.01.2021,16:10:00,144.720,145.000,144.700,144.950,101689
AAPL,NASDAQ,27.01.2021,16:09:00,139.000,139.040,137.000,138.270,210168
AAPL,NASDAQ,27.01.2021,16:31:00,141.700,145.000,138.880,139.800,429630
AAPL,NASDAQ,28.01.2021,16:36:00,136.070,136.110,136.010,136.050,15426
AAPL,NASDAQ,28.01.2021,09:15:00,141.680,142.120,141.670,141.830,166017
AAPL,NASDAQ,29.01.2021,12:50:00,130.550,130.610,130.210,130.240,507214
AAPL,NASDAQ,29.01.2021,08:01:00,136.120,137.430,135.270,135.850,314121
